Row.names	ggi	stat1	class	GSE
GSM808108	-0.0801505645202397	0.450741626133801	RCB-III	GSE32603
GSM808109	0.590312430933118	0.0514117048316583	RCB-II	GSE32603
GSM808110	0.333285142386475	0.151416904425923	RCB-II	GSE32603
GSM808111	0.242599635500519	0.0456936615933184	pCR	GSE32603
GSM808112	-0.042498178548966	-0.230858429431446	RCB-II	GSE32603
GSM808113	0.429956246148689	0.363911917987418	pCR	GSE32603
GSM808114	0.285181287715887	0.236732384579349	RCB-II	GSE32603
GSM808115	-0.520891131486759	-0.400383638063005	RCB-I	GSE32603
GSM808116	-0.226066061546598	-0.278884748855961	RCB-II	GSE32603
GSM808120	0.519717099181673	-0.0598734335897088	RCB-II	GSE32603
GSM808122	-0.0871816888456454	0.567473115059105	RCB-II	GSE32603
GSM808123	0.0435734303806854	0.543882495738992	pCR	GSE32603
